Jahr,Ganze Stadt,Kreis 1,Kreis 2,Kreis 3,Kreis 4,Kreis 5,Kreis 6,Kreis 7,Kreis 8,Kreis 9,Kreis 10,Kreis 11,Kreis 12
1999,35,38.1,38,32.9,29.1,32.8,38.1,41.8,40.9,34,38.5,33.8,28.4
2000,36.4,40.9,39.5,34.7,30.3,35.1,39.8,43.4,43.8,35,40.1,35,29.8
2001,38,42.4,41,36.1,32.2,36.9,41.4,44.9,45.6,36.7,42.1,36.1,30.8
2002,38.1,42,40.8,36.2,32,37.8,41.76,45,45,36.6,42.5,36.5,30.9
2003,38.1,42.9,40.5,36.2,32.5,38.9,42,45,45.9,36.7,42.3,36.4,30.9
2004,38,41.5,40.1,36.1,32,39.5,42.5,44.7,45.1,36.3,42,36,30.3
2005,38.3,43.9,40.7,36.9,32.7,40,43.1,45.9,46.3,36.1,42.4,36.3,30
2006,39.2,44.4,41.7,38.1,33.6,41.15,43.5,46.45,48,36.9,43.3,37,30.1
2007,40.5,47.2,43,39.9,34.7,43.5,45.6,48.85,50.6,38.4,44.8,38.6,31.1
2008,42.1,48.7,44.8,40.8,36.6,45.3,47.5,50,52.6,40,46.2,40,31.7
2009,42.4,48.3,44.7,41.4,36.8,45,47.9,49.9,53.6,40.6,46.4,40.1,32.1
2010,42.6,48.05,45,41.4,37.1,45.6,47.7,49.6,53.95,40.7,46.6,40.5,31.7
2011,43,48.35,44.6,42.9,37.6,44.45,48.1,50.3,55,41.1,47.2,40.7,31.5
2012,43.1,48,44.6,42.7,38.8,45.5,48,50.5,55.5,41.2,47.3,40.9,31.1
2013,43.4,48.05,45.5,43.8,39,47.3,47.9,50.3,55,41.3,47.1,41,31.4
2014,43.6,47.5,45,43.8,39.3,49.1,47.5,50.6,54.8,41.8,47.1,41,32.1
2015,43.6,47.2,46.3,44.2,39.55,50.4,47.5,50.2,55,41.5,46.8,40.4,32.7
2016,43.9,46.8,45.7,44.2,40,51.7,47.6,50.6,55.2,42,47.1,40.6,32.35
2017,44.1,46,45.4,45,40.6,51.2,47.3,50.4,56,42.6,46.8,41.2,33
2018,44.8,46,46.2,45.4,41.7,52.6,47.7,50.5,57.2,43.6,47.4,41.3,33.7
2019,45.5,45.4,47.4,46.1,43.6,54,49,51.1,57.8,44.5,47.9,42.1,34.1
2020,46,48,48.2,46.7,44.8,54.5,49.5,51.7,57.8,44.8,48,41.8,34.3
2021,46.9,49.5,50,47.7,46.2,54.6,50.3,52.7,59,45.4,48.7,42.7,34.5
2022,48.1,49.7,51.3,49,47.5,55.7,51.1,54.4,60.9,47,49.2,44.2,35.4
2023,49,49.9,51.4,49.8,48.2,57.1,51.9,54.8,61.6,48.4,49.7,45,36.5
